objid,ra,dec,photoz,photozerr,specz,speczerr,proj_sep,umag,umagerr,gmag,gmagerr,rmag,rmagerr,obj_type
1237651736280694846,149.99948,1.9870137,0.072337,0.014177,0.08033539,8.368941E-06,0.782692605793782,18.94129,0.07582601,17.55927,0.02109239,17.18771,0.01313746,3
1237651736280694980,150.01336,2.0295923,0.063615,0.021275,0.07852174,1.537024E-05,1.94605207635018,19.11869,0.06097092,16.82711,0.006433837,16.0517,0.003974945,3
1237651736280695018,149.97713,2.0049027,0.071135,0.015251,0.0778822,1.408371E-05,1.40206277175922,18.58133,0.06659076,17.09021,0.01111191,16.51421,0.007103152,3
1237651736280695018,149.97713,2.0049027,0.071135,0.015251,0.07788695,1.386642E-05,1.40206277175922,18.58133,0.06659076,17.09021,0.01111191,16.51421,0.007103152,3
1237651736280760425,150.05438,1.9996522,0.140164,0.036648,0.07842605,1.551847E-05,3.26033729791617,19.41315,0.06395824,17.56043,0.007120735,16.31036,0.004314526,3
1237651736280760428,150.06041,2.0066753,0.124932,0.045488,0.0785543,7.496561E-06,3.64569914050514,19.42974,0.0599605,18.20499,0.009353854,17.3579,0.006975915,3
1237651736280760479,150.1622,1.9915602,0.093444,0.034404,0.1236089,1.810824E-05,9.73942072069144,19.5228,0.07676275,17.70535,0.008335716,16.56283,0.005167572,3
1237651736280760500,150.05111,1.9894301,0.214403,0.050121,0.1865559,2.944867E-05,3.1301446013824,20.97852,0.2328767,19.26715,0.02411342,17.77909,0.01069537,3
1237653664721928354,149.90019,1.8966545,0.119014,0.008309,0.1249258,2.344475E-05,8.61856845015103,19.89979,0.05271278,18.01964,0.007175881,16.98845,0.004926813,3
